TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ----------------
Customers                                                                                                                        Code                                                                                                                             varchar                                                                                                                                         1
Customers                                                                                                                        Nm                                                                                                                               varchar                                                                                                                                         2
Customers                                                                                                                        MailListSrlNo                                                                                                                    int                                                                                                                                             3
Customers                                                                                                                        PriceGrp                                                                                                                         varchar                                                                                                                                         4
Customers                                                                                                                        CustClass1                                                                                                                       varchar                                                                                                                                         5
Customers                                                                                                                        CustClass2                                                                                                                       varchar                                                                                                                                         6
Customers                                                                                                                        CustClass3                                                                                                                       varchar                                                                                                                                         7
Customers                                                                                                                        CustClass4                                                                                                                       varchar                                                                                                                                         8
Customers                                                                                                                        CustClass5                                                                                                                       varchar                                                                                                                                         9
Customers                                                                                                                        CustProf1                                                                                                                        varchar                                                                                                                                        10
Customers                                                                                                                        CustProf2                                                                                                                        varchar                                                                                                                                        11
Customers                                                                                                                        CustProf3                                                                                                                        varchar                                                                                                                                        12
Customers                                                                                                                        CustProf4                                                                                                                        varchar                                                                                                                                        13
Customers                                                                                                                        CustProf5                                                                                                                        varchar                                                                                                                                        14
Customers                                                                                                                        IsASubOrdinate                                                                                                                   bit                                                                                                                                            15
Customers                                                                                                                        HasSubOrdinates                                                                                                                  bit                                                                                                                                            16
Customers                                                                                                                        AttachedToCd                                                                                                                     varchar                                                                                                                                        17
Customers                                                                                                                        ApplySuperAddress                                                                                                                bit                                                                                                                                            18
Customers                                                                                                                        IsMale                                                                                                                           smallint                                                                                                                                       19
Customers                                                                                                                        BirthDate                                                                                                                        datetime                                                                                                                                       20
Customers                                                                                                                        IsMaried                                                                                                                         smallint                                                                                                                                       21
Customers                                                                                                                        WedAnniv                                                                                                                         datetime                                                                                                                                       22
Customers                                                                                                                        LoyaltyPgmId                                                                                                                     varchar                                                                                                                                        23
Customers                                                                                                                        LoyaltyPgmCd                                                                                                                     varchar                                                                                                                                        24
Customers                                                                                                                        LSTNo                                                                                                                            varchar                                                                                                                                        25
Customers                                                                                                                        CSTNo                                                                                                                            varchar                                                                                                                                        26
Customers                                                                                                                        DestTaxType                                                                                                                      varchar                                                                                                                                        27
Customers                                                                                                                        ModeOfTrans                                                                                                                      varchar                                                                                                                                        28
Customers                                                                                                                        TransCode                                                                                                                        varchar                                                                                                                                        29
Customers                                                                                                                        BankCd                                                                                                                           varchar                                                                                                                                        30
Customers                                                                                                                        BankLoc                                                                                                                          varchar                                                                                                                                        31
Customers                                                                                                                        PaymtCat                                                                                                                         varchar                                                                                                                                        32
Customers                                                                                                                        PaymtTerms                                                                                                                       varchar                                                                                                                                        33
Customers                                                                                                                        CreditDays                                                                                                                       int                                                                                                                                            34
Customers                                                                                                                        CreditLimit                                                                                                                      money                                                                                                                                          35
Customers                                                                                                                        TransitDays                                                                                                                      int                                                                                                                                            36
Customers                                                                                                                        SHOPERComp                                                                                                                       varchar                                                                                                                                        37
