TrnType     TrnCtrlNo   StockNo                          DocQty         StkUpdtRate           DocEntNetValue       
----------- ----------- -------------------------------- -------------- --------------------- ---------------------
       1100        2509 8901326122945                               5.0              378.1600             1890.8000
       2100       10422 8901326020678                               1.0              504.4100              562.7846
       1100        2509 8901326122952                               5.0              384.4680             1922.3400
       2100       10422 8901326136522                               1.0              693.8125              773.9550
       1100        2509 8901326103982                               5.0              378.1600             1890.8000
       2100       10422 8901326204320                               1.0             1148.3566             1280.9894
       1100        2509 8901326103975                               5.0              378.1600             1890.8000
       2100       10422 8901326236253                               1.0              510.7300              717.6120
       1100        2509 8901326734803                               3.0              504.4100             1513.2300
       2100       10422 8901326237663                               1.0             1198.8432             1337.3114

(10 rows affected)
