COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ----------------
StockNo                                                                                                                          varchar                                                                                                                                         1
BatchSrlNo                                                                                                                       varchar                                                                                                                                         2
LocnId                                                                                                                           varchar                                                                                                                                         3
YrOpBalQty                                                                                                                       money                                                                                                                                           4
YrOpBalVal                                                                                                                       money                                                                                                                                           5
CurBalQty                                                                                                                        money                                                                                                                                           6
CurBalVal                                                                                                                        money                                                                                                                                           7
VAUid                                                                                                                            varchar                                                                                                                                         8
VActr                                                                                                                            int                                                                                                                                             9
VATermId                                                                                                                         varchar                                                                                                                                        10
VACompCode                                                                                                                       varchar                                                                                                                                        11

(11 rows affected)
