StockNo                          BatchSrlNo       LocnId           YrOpBalQty            YrOpBalVal            CurBalQty             CurBalVal             VAUid                            VActr       VATermId                         VACompCode      
-------------------------------- ---------------- ---------------- --------------------- --------------------- --------------------- --------------------- -------------------------------- ----------- -------------------------------- ----------------
8901326000168                    0                0                                .0000                 .0000               14.0000             7945.6242 manager                                 4786 .                                62X             
8901326000175                    0                0                                .0000                 .0000               13.0000             7378.0791 manager                                 4786 .                                62X             
8901326000182                    0                0                                .0000                 .0000                4.0000             2270.1800 manager                                 4786 .                                62X             
8901326000199                    0                0                                .0000                 .0000                6.0000             3481.0199 manager                                 4786 .                                62X             
8901326020258                    0                0                                .0000                 .0000                5.0000             2364.2300 NULL                                    4704 NULL                             NULL            
8901326020265                    0                0                                .0000                 .0000               10.0000             4956.0165 NULL                                    4786 NULL                             NULL            
8901326020272                    0                0                                .0000                 .0000                5.0000             2522.0505 NULL                                    4786 NULL                             NULL            
8901326020289                    0                0                                .0000                 .0000                 .0000                 .0000 NULL                                    4782 NULL                             NULL            
8901326020654                    0                0                                .0000                 .0000                3.0000             1513.2300 NULL                                    4736 NULL                             NULL            
8901326020661                    0                0                                .0000                 .0000                3.0000             1507.8389 NULL                                    4732 NULL                             NULL            

(10 rows affected)
